Model,Dataset,Lag,Horizon,Consolidated MSE,MAE,MASE,ZI-MAE,ZI-MSE,MAPE,SMAPE,ZI-MAPE,ZI-SMAPE
TimeGPT,ETTh1,96,12,0.9369824139227186,0.6362311425432664,1.8329860521680517,0.6362311425432664,0.9369824139227186,205313549083819.53,3.9692036115483185,11.020732156222227,4.137531321999175
TimeGPT,ETTh2,96,12,3.4688845287132555,1.3950613482605072,4.768308815139074,1.3950613482605072,3.4688845287132555,317179817062028.0,7.827799725592474,41.55606365874397,6.781113656098047
TimeGPT,ETTm1,96,12,0.9717648006145971,0.6227981865945039,2.7186852838190596,0.6227981865945039,0.9717648006145971,45193802166930.51,3.476767122198552,9.383614943496282,3.475583830400492
TimeGPT,ETTm2,96,12,3.2683462734817916,1.3851417890066293,6.081254978934684,1.3851417890066293,3.2683462734817916,432876994137528.0,7.687402746174159,15.517422597700568,7.074514468470688
TimeGPT,Electricity,96,12,1.2486445989708932,0.84402526288155,2.2337850539942137,0.84402526288155,1.2486445989708932,61945530090.125595,121.70633727249735,19884515158930.32,121.70633727249735
TimeGPT,Exchange,96,12,0.13277907747315584,0.2666500868299415,1.755439824360537,0.2666500868299415,0.13277907747315584,0.029292029811036673,0.23776549506007566,0.23433623848829335,0.2377654950600757
TimeGPT,Weather,96,12,1.311109617409401,0.8001501287800523,7.365376125102511,0.8001501287800523,1.311109617409401,7132785990349502.0,18.449166761341417,55.24096687550219,48.24857889310498
TimeGPT,Illness,96,12,3.8970760746571673,1.2615034345052518,3.7316638016380743,1.2615034345052518,3.8970760746571673,0.5747999539697937,3.1945354589349733,4.023599677788556,3.1945354589349737
TimeGPT,Divvy,96,12,1.9129224640878335,1.0113198085696202,6.050671193544421,1.0113198085696202,1.9129224640878335,315025615585425.6,155.27363084536654,6309482836926958.0,149.68552888087186
TimeGPT,M5,96,12,19.928604564899562,1.3525516547676604,1.162373345733244,1.3389219499902763,19.913563843172653,410231815522.45465,1284.078252209864,10570.036813223642,1282.3568419712674
TimeGPT,ETTh1,96,24,0.858254007159139,0.6045028483788292,2.021164531140376,0.6045028483788292,0.858254007159139,65553838246371.125,3.8071098575668887,11.195816350118774,3.829635911004951
TimeGPT,ETTh2,96,24,3.3932675215384016,1.3953715215096676,6.17237342331009,1.3953715215096676,3.3932675215384016,403652125896390.5,7.886122997844732,56.3668234857193,6.934159356232331
TimeGPT,ETTm1,96,24,1.2221521906626518,0.6812167628932729,3.506273207708787,0.6812167628932729,1.2221521906626518,96704483910126.47,3.5356878028917147,9.288847022879681,3.5669491463142147
TimeGPT,ETTm2,96,24,3.1974034923552423,1.3511400042598556,8.44749427079551,1.3511400042598556,3.1974034923552423,317241806859445.7,7.655418494054292,20.238721271986687,6.787400204631838
TimeGPT,Electricity,96,24,1.233358347518208,0.8380189057866838,2.9302441128919434,0.8380189057866838,1.233358347518208,40072327379.85383,118.91517064801967,12863217088933.084,118.91517064801968
TimeGPT,Exchange,96,24,0.1347871846192824,0.2711875353825875,2.9827389158445166,0.2711875353825875,0.1347871846192824,0.02999193090981353,0.24247879664390096,0.23993544727850824,0.24247879664390098
TimeGPT,Weather,96,24,1.1833170641331472,0.7691526239247852,9.783938159718074,0.7691526239247852,1.1833170641331472,4537224758088911.0,18.16713999652759,40.11726495990132,35.692979471759585
TimeGPT,Illness,96,24,3.949116894272873,1.2754643755248758,4.222205455205933,1.2754643755248758,3.949116894272873,0.6000045321702364,3.252449184237874,4.200031725191655,3.2524491842378747
TimeGPT,Divvy,96,24,1.746077735819567,0.9840909008766403,7.227771362926127,0.9840909008766403,1.746077735819567,356856599807297.2,135.1306621893725,6898726188672632.0,132.72537983867178
TimeGPT,M5,96,24,19.36913339705272,1.3525708885519436,1.1783453344543096,1.3391252341998425,19.354334095959967,403111280384.6046,1280.2684564090068,10541.827208306657,1278.5826027751577
TimeGPT,ETTh1,96,48,0.7989705224207249,0.5956226198632689,2.114879283957901,0.5956226198632689,0.7989705224207249,71301336160279.97,3.7993806515937574,10.995330097439682,3.826871857388775
TimeGPT,ETTh2,96,48,3.4836446616544015,1.4147183756341188,7.238968907674126,1.4147183756341188,3.4836446616544015,311929134803481.4,8.071390515121589,61.345904020705305,6.929241658651771
TimeGPT,ETTm1,96,48,1.0813795426393467,0.6304138241853234,3.490057205659125,0.6304138241853234,1.0813795426393467,78483487751865.47,3.493634866152172,37748898077680.49,3.5120026769710737
TimeGPT,ETTm2,96,48,3.3879212238208534,1.3849650673773228,10.87804708630124,1.3849650673773228,3.3879212238208534,270033576878330.66,7.924787253309155,26.616959848935196,6.959583110649608
TimeGPT,Electricity,96,48,1.2211216424616402,0.8327650743968116,2.9595367641812027,0.8327650743968116,1.2211216424616402,48576780236.279625,117.90741903951924,15593146455845.76,117.90741903951925
TimeGPT,Exchange,96,48,0.12497276419801827,0.2618386205159051,4.524077672744906,0.2618386205159051,0.12497276419801827,0.028983403494017304,0.23457587422627005,0.2318672279521384,0.23457587422627005
TimeGPT,Weather,96,48,1.1056479770476064,0.7454798720295043,12.441364343431275,0.7454798720295043,1.1056479770476064,4348236720836756.5,17.444168668568786,53.942174238355975,34.06297523759569
TimeGPT,Illness,96,48,4.039149554057098,1.2854829683558402,5.011984107995388,1.2854829683558402,4.039149554057098,0.6155438537376573,3.2527051881830613,4.3088069761636,3.2527051881830613
TimeGPT,Divvy,96,48,1.31277522310609,0.8598202004833077,7.3332148987284,0.8598202004833077,1.31277522310609,414215287479348.2,115.85660690556443,8755494575995215.0,115.8133207937959
TimeGPT,M5,96,48,19.267624378300464,1.3599177623230783,1.1959318436825972,1.3465336134022414,19.252751268337835,430791953374.3458,1271.2825030675695,11054.218352648086,1269.614900520901
TimeGPT,ETTh1,96,96,0.8144803425667734,0.593616567437572,2.2240102984155055,0.593616567437572,0.8144803425667734,57597677825907.625,3.7070958087787065,11.145790259560275,3.72717613965643
TimeGPT,ETTh2,96,96,3.4790190343425786,1.4056153693336537,7.920663140382039,1.4056153693336537,3.4790190343425786,430837448929735.5,8.03621940779135,56.34660954131167,7.1056769130345065
TimeGPT,ETTm1,96,96,0.7130228642366078,0.5438996171642396,3.7210610908065984,0.5438996171642396,0.7130228642366078,40426326823323.82,3.409547994696503,24222641188434.63,3.3935919238672643
